ANNO;COD_ATENEO;NOME_ATENEO;Reg_ATENEO;AREA_GEO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;N_PERS
2015;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;194
2015;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;4
2015;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;105
2015;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;3
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);1
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);6
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;4
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;3
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;2
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;F;5PC;Personale docente a contratto;5
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;5PC;Personale docente a contratto;9
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;0
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;5
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;F;7CL;Collaboratori linguistici;0
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;7CL;Collaboratori linguistici;0
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;25
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;6
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;25
2015;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;4
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);11
2015;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);17
